estimation_id,region_id,simd_width,global_size,local_size,thread_count,time,speed_up,bounded_by
469,295,8,"(2694,)","(16,)",337,2.116e-05,1416.6755529300567,"Launch_Tax, Latencies, Compute"
470,295,8,"(2694,)","(32,)",337,2.116e-05,1416.6755529300567,"Launch_Tax, Latencies, Compute"
471,295,8,"(2694,)","(64,)",337,2.116e-05,1416.6755529300567,"Launch_Tax, Latencies, Compute"
472,295,8,"(2694,)","(128,)",337,2.116e-05,1416.6755529300567,"Launch_Tax, Latencies, Compute"
473,295,8,"(2694,)","(256,)",337,2.1283636363636366e-05,1408.4461032803688,"Launch_Tax, Latencies, Compute"
474,295,16,"(2694,)","(8,)",337,2.1252727272727277e-05,1410.4944892634098,"Launch_Tax, Latencies, Compute"
475,295,16,"(2694,)","(16,)",169,2.116e-05,1416.6755529300567,"Launch_Tax, Latencies, Compute"
476,295,16,"(2694,)","(32,)",169,2.116e-05,1416.6755529300567,"Launch_Tax, Latencies, Compute"
477,295,16,"(2694,)","(64,)",169,2.116e-05,1416.6755529300567,"Launch_Tax, Latencies, Compute"
478,295,16,"(2694,)","(128,)",169,2.116e-05,1416.6755529300567,"Launch_Tax, Latencies, Compute"
479,295,16,"(2694,)","(256,)",169,2.1190909090909094e-05,1414.6091879021876,"Launch_Tax, Latencies, Compute"
480,295,32,"(2694,)","(8,)",337,2.143818181818182e-05,1398.2927728776183,"Launch_Tax, Compute"
481,295,32,"(2694,)","(16,)",169,2.1252727272727277e-05,1410.4944892634098,"Launch_Tax, Latencies, Compute"
482,295,32,"(2694,)","(32,)",85,2.1190909090909094e-05,1414.6091879021876,"Launch_Tax, Latencies, Compute"
483,295,32,"(2694,)","(64,)",85,2.1190909090909094e-05,1414.6091879021876,"Launch_Tax, Latencies, Compute"
484,295,32,"(2694,)","(128,)",85,2.1190909090909094e-05,1414.6091879021876,"Launch_Tax, Latencies, Compute"
485,295,32,"(2694,)","(256,)",85,2.1190909090909094e-05,1414.6091879021876,"Launch_Tax, Latencies, Compute"
